,SchoolName,Address,SchoolManagement,E-Mail,Telephone#
22,Arlparra School,"{'description': None, 'state': 'NT', 'postCode': 'Arlparra Community, Utopia', 'displayAddress': ', Arlparra Community, Utopia, NT'}","[{'firstName': 'Stephen', 'lastName': 'Nimmo', 'position': 'Principal', 'email': 'stephen.nimmo@ntschools.net', 'phone': '(08) 8956 9178'}, {'firstName': 'Jennifer', 'lastName': 'Redmile', 'position': 'Administration Manager', 'email': 'jennifer.redmile@ntschools.net', 'phone': '(08) 895 11656'}]",stephen.nimmo@ntschools.net,(08) 8956 9178
23,Bakewell Primary School,"{'description': '1 Forrest Parade', 'state': 'NT', 'postCode': 'Bakewell, 0832', 'displayAddress': '1 Forrest Parade, Bakewell, 0832, NT'}","[{'firstName': 'Erin', 'lastName': 'Carter', 'position': 'Assistant Principal 1', 'email': 'erin.carter@ntschools.net', 'phone': '(08) 899 77400'}, {'firstName': 'Leonie', 'lastName': 'Commons', 'position': 'Business Manager', 'email': 'leonie.commons@ntschools.net', 'phone': '(08) 899 77400'}, {'firstName': 'Jackie', 'lastName': 'Roberts', 'position': 'Principal', 'email': 'jackie.roberts@ntschools.net', 'phone': '(08) 899 77400'}]",admin.bakewell@ntschools.net,(08) 899 77400
24,Bakewell Primary School,"{'description': '1 Forrest Parade', 'state': 'NT', 'postCode': 'Bakewell, 0832', 'displayAddress': '1 Forrest Parade, Bakewell, 0832, NT'}","[{'firstName': 'Erin', 'lastName': 'Carter', 'position': 'Assistant Principal 1', 'email': 'erin.carter@ntschools.net', 'phone': '(08) 899 77400'}, {'firstName': 'Leonie', 'lastName': 'Commons', 'position': 'Business Manager', 'email': 'leonie.commons@ntschools.net', 'phone': '(08) 899 77400'}, {'firstName': 'Jackie', 'lastName': 'Roberts', 'position': 'Principal', 'email': 'jackie.roberts@ntschools.net', 'phone': '(08) 899 77400'}]",admin.bakewell@ntschools.net,(08) 899 77400
25,Baniyala Garrangali School,"{'description': 'Yilpara Community', 'state': 'NT', 'postCode': 'Yirrkala, 0880', 'displayAddress': 'Yilpara Community, Yirrkala, 0880, NT'}","[{'firstName': 'Cameron', 'lastName': 'Adams', 'position': 'Principal', 'email': 'cameron.adams@ntschools.net', 'phone': '(08) 8987 9114'}, {'firstName': 'Donna', 'lastName': 'Cartwright', 'position': 'Administration Manager', 'email': 'donna.cartwright2@nt.gov.au', 'phone': '(08) 899 93548'}]",cameron.adams@ntschools.net,(08) 8987 9114
26,Barunga School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Barunga  (Bamyili)', 'displayAddress': 'N/A, Barunga  (Bamyili), NT'}","[{'firstName': 'Jianynne', 'lastName': 'Anastacio', 'position': 'Administration Manager', 'email': 'jianynne.anastacio1@ntschools.net', 'phone': '(08) 8972 5351'}, {'firstName': 'Malcolm', 'lastName': 'Hales', 'position': 'Principal', 'email': 'malcolm.hales@ntschools.net', 'phone': '(08) 8975 4502'}]",office.barunga@ntschools.net,(08) 8975 4502
27,Batchelor Area School,"{'description': '71 Kirra Cres', 'state': 'NT', 'postCode': 'Batchelor, 0845', 'displayAddress': '71 Kirra Cres, Batchelor, 0845, NT'}","[{'firstName': 'Carolyn', 'lastName': 'Bilston', 'position': 'Administration Manager', 'email': 'carolyn.bilston@ntschools.net', 'phone': '(08) 8976 0077'}, {'firstName': 'Cindy', 'lastName': 'Bowyer', 'position': 'Principal', 'email': 'elizabeth.bowyer@ntschools.net', 'phone': '(08) 8976 0077'}]",batchelor.as@ntschools.net,(08) 8976 0077
28,Batchelor Area School,"{'description': '71 Kirra Cres', 'state': 'NT', 'postCode': 'Batchelor, 0845', 'displayAddress': '71 Kirra Cres, Batchelor, 0845, NT'}","[{'firstName': 'Carolyn', 'lastName': 'Bilston', 'position': 'Administration Manager', 'email': 'carolyn.bilston@ntschools.net', 'phone': '(08) 8976 0077'}, {'firstName': 'Cindy', 'lastName': 'Bowyer', 'position': 'Principal', 'email': 'elizabeth.bowyer@ntschools.net', 'phone': '(08) 8976 0077'}]",batchelor.as@ntschools.net,(08) 8976 0077
29,Bees Creek Primary School,"{'description': '20 Sattler Cres', 'state': 'NT', 'postCode': 'Freds Pass', 'displayAddress': '20 Sattler Cres, Freds Pass, NT'}","[{'firstName': 'Wendy', 'lastName': 'Jordan', 'position': 'Principal', 'email': 'wendy.jordan@ntschools.net', 'phone': '(08) 8983 3222'}, {'firstName': 'Rachel', 'lastName': 'Webster', 'position': 'Administration Manager', 'email': 'rachel.webster@ntschools.net', 'phone': '(08) 8983 3222'}]",bees.creek@ntschools.net,(08) 8983 3222
30,Bees Creek Primary School,"{'description': '20 Sattler Cres', 'state': 'NT', 'postCode': 'Freds Pass', 'displayAddress': '20 Sattler Cres, Freds Pass, NT'}","[{'firstName': 'Wendy', 'lastName': 'Jordan', 'position': 'Principal', 'email': 'wendy.jordan@ntschools.net', 'phone': '(08) 8983 3222'}, {'firstName': 'Rachel', 'lastName': 'Webster', 'position': 'Administration Manager', 'email': 'rachel.webster@ntschools.net', 'phone': '(08) 8983 3222'}]",bees.creek@ntschools.net,(08) 8983 3222
31,Belyuen School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Belyuen', 'displayAddress': 'N/A, Belyuen, NT'}","[{'firstName': 'Elspeth', 'lastName': 'Hurse', 'position': 'Principal', 'email': 'elspeth.hurse@ntschools.net', 'phone': '(08) 8978 5085'}, {'firstName': 'Carmel', 'lastName': 'Pedersen', 'position': 'Administration Manager', 'email': 'carmel.pedersen@ntschools.net', 'phone': '(08) 8901 4913'}]",elspeth.hurse@ntschools.net,(08) 8978 5085
32,Berry Springs Primary School,"{'description': '1150 Cox Peninsula Rd', 'state': 'NT', 'postCode': 'Berry Springs, 0838', 'displayAddress': '1150 Cox Peninsula Rd, Berry Springs, 0838, NT'}","[{'firstName': 'Wendy', 'lastName': 'Alp', 'position': 'Administration Manager', 'email': 'wendy.alp@ntschools.net', 'phone': '(08) 8988 6495'}, {'firstName': 'Carlie', 'lastName': 'Mamo', 'position': 'Principal', 'email': 'carlie.mamo@ntschools.net', 'phone': '(08) 8988 6106'}]",berrysprings.primary@ntschools.net,(08) 8988 6006
33,Berry Springs Primary School,"{'description': '1150 Cox Peninsula Rd', 'state': 'NT', 'postCode': 'Berry Springs, 0838', 'displayAddress': '1150 Cox Peninsula Rd, Berry Springs, 0838, NT'}","[{'firstName': 'Wendy', 'lastName': 'Alp', 'position': 'Administration Manager', 'email': 'wendy.alp@ntschools.net', 'phone': '(08) 8988 6495'}, {'firstName': 'Carlie', 'lastName': 'Mamo', 'position': 'Principal', 'email': 'carlie.mamo@ntschools.net', 'phone': '(08) 8988 6106'}]",berrysprings.primary@ntschools.net,(08) 8988 6006
34,Bonya School,"{'description': 'Community ID 26', 'state': 'NT', 'postCode': 'Orrtipa-Thurra (Bonya)', 'displayAddress': 'Community ID 26, Orrtipa-Thurra (Bonya), NT'}","[{'firstName': 'Gary', 'lastName': 'Schmull', 'position': 'Administration Manager', 'email': 'gary.schmull@ntschools.net', 'phone': '(08) 895 11641'}, {'firstName': 'Mark', 'lastName': 'Webster', 'position': 'Principal', 'email': 'mark.webster@ntschools.net', 'phone': '(08) 8956 6352'}]",mark.webster@ntschools.net,(08) 8956 6352
35,Borroloola School,"{'description': '321 Robinson Rd', 'state': 'NT', 'postCode': 'Borroloola, 0854', 'displayAddress': '321 Robinson Rd, Borroloola, 0854, NT'}","[{'firstName': 'Jane', 'lastName': 'Arnott', 'position': 'Principal', 'email': 'jane.arnott@ntschools.net', 'phone': '(08) 8975 8780'}, {'firstName': 'tba', 'lastName': 'tba', 'position': 'Administration Manager', 'email': 'tba', 'phone': '(08) 8975 8780'}]",admin.borrosch@ntschools.net,(08) 8975 8780
36,Borroloola School,"{'description': '321 Robinson Rd', 'state': 'NT', 'postCode': 'Borroloola, 0854', 'displayAddress': '321 Robinson Rd, Borroloola, 0854, NT'}","[{'firstName': 'Jane', 'lastName': 'Arnott', 'position': 'Principal', 'email': 'jane.arnott@ntschools.net', 'phone': '(08) 8975 8780'}, {'firstName': 'tba', 'lastName': 'tba', 'position': 'Administration Manager', 'email': 'tba', 'phone': '(08) 8975 8780'}]",admin.borrosch@ntschools.net,(08) 8975 8780
37,Bradshaw Primary School,"{'description': '23 Adamson Ave', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '23 Adamson Ave, Alice Springs, 0870, NT'}","[{'firstName': 'Melanie', 'lastName': 'Shaw', 'position': 'Administration Manager', 'email': 'melanie.shaw@ntschools.net', 'phone': '(08) 895 52100'}, {'firstName': 'Michele', 'lastName': 'Turk', 'position': 'Principal', 'email': 'michele.turk@ntschools.net', 'phone': '(08) 895 52100'}]",bradshaw.school@ntschools.net,(08) 895 52100
38,Bradshaw Primary School,"{'description': '23 Adamson Ave', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '23 Adamson Ave, Alice Springs, 0870, NT'}","[{'firstName': 'Melanie', 'lastName': 'Shaw', 'position': 'Administration Manager', 'email': 'melanie.shaw@ntschools.net', 'phone': '(08) 895 52100'}, {'firstName': 'Michele', 'lastName': 'Turk', 'position': 'Principal', 'email': 'michele.turk@ntschools.net', 'phone': '(08) 895 52100'}]",bradshaw.school@ntschools.net,(08) 895 52100
39,Braitling Primary School,"{'description': '80 Head St', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '80 Head St, Alice Springs, 0870, NT'}","[{'firstName': 'Belinda', 'lastName': 'Pearson', 'position': 'Principal', 'email': 'belinda.pearson@ntschools.net', 'phone': '(08) 895 85111'}, {'firstName': 'Sarah', 'lastName': 'Robertson', 'position': 'Administration Manager', 'email': 'sarah.robertson1@ntschools.net', 'phone': '(08) 895 85111'}]",admin.braitsch@ntschools.net,(08) 895 85111
40,Braitling Primary School,"{'description': '80 Head St', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '80 Head St, Alice Springs, 0870, NT'}","[{'firstName': 'Belinda', 'lastName': 'Pearson', 'position': 'Principal', 'email': 'belinda.pearson@ntschools.net', 'phone': '(08) 895 85111'}, {'firstName': 'Sarah', 'lastName': 'Robertson', 'position': 'Administration Manager', 'email': 'sarah.robertson1@ntschools.net', 'phone': '(08) 895 85111'}]",admin.braitsch@ntschools.net,(08) 895 85111
41,Bulla Camp School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Bulla', 'displayAddress': 'N/A, Bulla, NT'}","[{'firstName': 'Kelly', 'lastName': 'Angel', 'position': 'Administration Manager', 'email': 'kelly.angel1@ntschools.net', 'phone': '(08) 8972 5347'}, {'firstName': 'Jenine', 'lastName': 'Williams', 'position': 'Principal', 'email': 'jenine.williams@ntschools.net', 'phone': '(08) 9167 8957'}]",jenine.williams@ntschools.net,(08) 9167 8957
42,Bulman School,"{'description': 'N/A', 'state': 'NT', 'postCode': 'Bulman', 'displayAddress': 'N/A, Bulman, NT'}","[{'firstName': 'Jodie', 'lastName': 'Fisher', 'position': 'Administration Manager', 'email': 'Jodie.fisher@ntschools.net', 'phone': '(08) 897 25358'}, {'firstName': 'Natasha', 'lastName': 'Hosny', 'position': 'Principal', 'email': 'natasha.hosny@ntschools.net', 'phone': '(08) 8975 4707'}]",natasha.hosny@ntschools.net,(08) 8975 4707
43,Callistemon House,"{'description': '80 Callistemon Dr', 'state': 'NT', 'postCode': 'Katherine East, 0850', 'displayAddress': '80 Callistemon Dr, Katherine East, 0850, NT'}","[{'firstName': 'Richelle', 'lastName': 'Hutchinson', 'position': 'Administration Manager', 'email': 'richelle.hutchinson@nt.gov.au', 'phone': '(08) 897 25319'}, {'firstName': 'Jayme', 'lastName': 'Kot', 'position': 'Principal', 'email': 'jayme.kot@ntschools.net', 'phone': '(08) 8972 3212'}]",admin.callistemon@ntschools.net,(08) 8972 3212
44,Canteen Creek School,"{'description': 'N/a', 'state': 'NT', 'postCode': 'Canteen Creek', 'displayAddress': 'N/a, Canteen Creek, NT'}","[{'firstName': 'Rowena', 'lastName': 'Verdillo', 'position': 'Business Manager', 'email': 'rowena.verdillo@nt.gov.au', 'phone': '(08) 896 32013'}, {'firstName': 'Scott', 'lastName': 'Whitelaw', 'position': 'Principal', 'email': 'scott.whitelaw@ntschools.net', 'phone': '(08) 8964 1505'}]",admin.cantesch@ntschools.net,(08) 8964 1505
45,Casuarina Senior College,"{'description': '61 Parer Dr', 'state': 'NT', 'postCode': 'Moil, 0810', 'displayAddress': '61 Parer Dr, Moil, 0810, NT'}","[{'firstName': 'Glenn', 'lastName': 'Dixon', 'position': 'Principal', 'email': 'glenn.dixon@ntschools.net', 'phone': '(08) 898 37300'}, {'firstName': 'Renee', 'lastName': 'Manuel', 'position': 'Business Manager', 'email': 'renee.manuel@ntschools.net', 'phone': '(08) 898 37324'}, {'firstName': 'Tracy', 'lastName': 'McKay', 'position': 'Administration Manager', 'email': 'tracy.mckcay@ntschools.net', 'phone': '(08) 898 37300'}]",csc.admin@ntschools.net,(08) 898 37300
46,Casuarina Street Primary School,"{'description': 'Casuarina St', 'state': 'NT', 'postCode': 'Katherine East, 0850', 'displayAddress': 'Casuarina St, Katherine East, 0850, NT'}","[{'firstName': 'Julie', 'lastName': 'Branson', 'position': 'Administration Manager', 'email': 'julie.branson@ntschools.net', 'phone': '(08) 897 33800'}, {'firstName': 'Nick', 'lastName': 'Lovering', 'position': 'Principal', 'email': 'nick.lovering@ntschools.net', 'phone': '(08) 897 33800'}]",casuarina.admin@ntschools.net,(08) 897 33800
47,Casuarina Street Primary School,"{'description': 'Casuarina St', 'state': 'NT', 'postCode': 'Katherine East, 0850', 'displayAddress': 'Casuarina St, Katherine East, 0850, NT'}","[{'firstName': 'Julie', 'lastName': 'Branson', 'position': 'Administration Manager', 'email': 'julie.branson@ntschools.net', 'phone': '(08) 897 33800'}, {'firstName': 'Nick', 'lastName': 'Lovering', 'position': 'Principal', 'email': 'nick.lovering@ntschools.net', 'phone': '(08) 897 33800'}]",casuarina.admin@ntschools.net,(08) 897 33800
48,Centralian Middle School,"{'description': '56 Milner Rd', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '56 Milner Rd, Alice Springs, 0870, NT'}","[{'firstName': 'Paul', 'lastName': 'van Holsteyn', 'position': 'Principal', 'email': 'paul.vanholsteyn@ntschools.net', 'phone': '(08) 895 52333'}, {'firstName': 'Carol', 'lastName': 'Watson', 'position': 'Administration Manager', 'email': 'carol.watson@ntschools.net', 'phone': '(08) 895 52317'}]",centralian.middle@ntschools.net,(08) 895 52333
49,Centralian Senior College,"{'description': '10 Grevillea Drive', 'state': 'NT', 'postCode': 'Alice Springs, 0870', 'displayAddress': '10 Grevillea Drive, Alice Springs, 0870, NT'}","[{'firstName': 'Laura', 'lastName': 'Annesley', 'position': 'Business Manager', 'email': 'laura.annesley1@ntschools.net', 'phone': '(08) 895 85005'}, {'firstName': 'Tony', 'lastName': 'Collins', 'position': 'Principal', 'email': 'tony.collins@ntschools.net', 'phone': '(08) 895 85007'}]",admin.centraliansc@ntschools.net,(08) 895 85000
